   1 host: '0000100000000000000001000000000000000000000000000000000000000000000000001000000000000000000000000000' (1.000) =   3
   1 para: '0000000000000000000010000000000000000000001000000000001000000000000000000000000000000000000000000000' (0.996) =   3
   2 host: '0000000000000001001000010000010000000000001001010000000000000000000001000000000000000010000000100000' (1.000) =  10
   2 para: '0000000000000000000000000000000000010010000000100001000000000000000000000000000000010000000001000000' (0.996) =   6
   3 host: '1000000000000001001000010000010000001000001001010000000000000000000001000000000000000010000000100000' (1.000) =  12
   3 para: '0100000000000000000100000000010000100000000000010000000100000000000000000000001001100000000000000000' (0.996) =   9
   4 host: '0000010100000000000011000100010000000000001011000001010000000010100000000000000000000010000000000000' (1.000) =  14
   4 para: '0100000000000000000101000000010000100000000000010000000100000000100000000000001101100000000000000000' (0.996) =  12
   5 host: '0000010100000000001010000000010100001000001011000000010010000010000000000000000000000010000000000010' (1.000) =  15
   5 para: '0000000000000000000000100000000010010110000000100001100000010001101000000000000000010000000001000000' (0.996) =  14
   6 host: '0000010100000000001010110010110100000010001010100000010010000010000010000000000000000010000000000000' (1.000) =  19
   6 para: '0100000000010000000000100010000000000010000000010000000000110010000001010010000101000001000000000000' (0.996) =  15
   7 host: '0000010101000000000111000100010100000000001011000001010000000011100000000000000000000010000100000000' (1.000) =  19
   7 para: '1000011000000000000010000000000000000000000010000000101100000110100000100101010000100100001001000001' (0.996) =  20
   8 host: '0000010100001100001010000010010100000000001011000000010110000010001010000000000000001010000000000011' (1.000) =  22
   8 para: '0000001000000010000111010010000000000000000000011100000001001110000110000000010000010000001000100011' (0.996) =  22
   9 host: '0000110101100000010011000101011100100000001011110001010000010011100000000000000000000010000100000000' (1.000) =  27
   9 para: '0000010000000100100000000100001011000000001010000010010000010000101000000111000010000011010100010001' (0.996) =  24
  10 host: '1000110101101001010011000101011100100000001011110001010000000011100100001000000000000010000100000001' (1.000) =  32
  10 para: '0100000000000100000101000100011000001000001000010101000101000000101000101000011101101100000000100000' (0.996) =  26
  11 host: '0000110101100000010111000100011100100001001011110001010000000011100000010000000000000110000100000000' (1.000) =  29
  11 para: '1000011001000010000010010000000000000000000110000000101110000110100000100011011000100101001001000101' (0.996) =  28
  12 host: '0000110101100000010111000101011100100001001011110001010000000011100000010010000000000110001100000000' (1.000) =  32
  12 para: '1100011001000010000010010100001010000000000110100000101110000110100000000111010000100101001001001101' (0.996) =  33
  13 host: '1000110101111001010011010101011100100010001011100001010001000111100100101000000000000010000100000001' (1.000) =  37
  13 para: '0001011000001011000000100010010111010010000111000100101010000010100001010101110001010110000001010001' (0.999) =  36
  14 host: '1100110101111001010011110101011100100010001011100001010000000111100100101000000000000010000100000001' (1.000) =  38
  14 para: '0001010000001011000000101010010111010010100111010000101010000010100001110101110001010100000001010001' (0.996) =  37
  15 host: '1000110101101001011011010101101100100010001011110001011000000111100111101000010000000010010100000101' (1.000) =  43
  15 para: '0001011000001011000100100010010111010010000111000100101010010010100001011101110001010110000001010101' (0.996) =  40
  16 host: '1000110101100001011011000111011100110010011011110001010100000111110100000000100100000110000100001011' (1.000) =  43
  16 para: '1001010010001011010000100011010111010010000111000111101010000010100001010101110001011110000001010001' (0.996) =  42
  17 host: '1000110101101001010011010101011100100000101011111101111100010111100100001000010010000110010110000001' (1.000) =  46
  17 para: '0011010000001011000100111010010111010010100111000110101011010010100001010101111001010110000001010001' (0.996) =  44
  18 host: '1001110101100001011011000111011100101011010001111001010100000011100000001010100100001110100101001011' (1.000) =  46
