 100: max:0.571, min:0.429, mean:0.498
 200: max:0.679, min:0.500, mean:0.607
 400: max:0.750, min:0.536, mean:0.643
 800: max:0.679, min:0.500, mean:0.616
1600: max:0.714, min:0.536, mean:0.649
3200: max:0.750, min:0.536, mean:0.678
