 146: max:0.679, min:0.536, mean:0.620
 147: max:0.679, min:0.536, mean:0.614
 148: max:0.679, min:0.536, mean:0.615
 149: max:0.679, min:0.536, mean:0.615
 150: max:0.714, min:0.500, mean:0.616
 151: max:0.679, min:0.464, mean:0.614
 152: max:0.679, min:0.536, mean:0.619
 153: max:0.679, min:0.536, mean:0.614
 154: max:0.679, min:0.536, mean:0.611
 155: max:0.679, min:0.500, mean:0.601
 156: max:0.679, min:0.500, mean:0.603
 157: max:0.679, min:0.500, mean:0.605
 158: max:0.679, min:0.464, mean:0.609
 159: max:0.679, min:0.500, mean:0.600
 160: max:0.679, min:0.536, mean:0.605
 161: max:0.679, min:0.464, mean:0.601
 162: max:0.679, min:0.500, mean:0.604
 163: max:0.679, min:0.500, mean:0.606
 164: max:0.679, min:0.500, mean:0.603
 165: max:0.679, min:0.500, mean:0.604
 166: max:0.679, min:0.464, mean:0.600
 167: max:0.679, min:0.464, mean:0.602
 168: max:0.679, min:0.500, mean:0.609
 169: max:0.679, min:0.536, mean:0.611
 170: max:0.679, min:0.500, mean:0.613
 171: max:0.679, min:0.500, mean:0.615
 172: max:0.714, min:0.464, mean:0.618
 173: max:0.714, min:0.536, mean:0.620
 174: max:0.714, min:0.536, mean:0.627
 175: max:0.714, min:0.500, mean:0.632
 176: max:0.750, min:0.536, mean:0.646
 177: max:0.750, min:0.536, mean:0.663
 178: max:0.750, min:0.571, mean:0.667
 179: max:0.750, min:0.536, mean:0.665
 180: max:0.750, min:0.536, mean:0.662
 181: max:0.750, min:0.536, mean:0.664
 182: max:0.750, min:0.536, mean:0.671
 183: max:0.750, min:0.571, mean:0.661
 184: max:0.750, min:0.536, mean:0.656
 185: max:0.750, min:0.571, mean:0.668
 186: max:0.750, min:0.571, mean:0.670
 187: max:0.750, min:0.571, mean:0.679
 188: max:0.750, min:0.571, mean:0.681
 189: max:0.750, min:0.607, mean:0.683
 190: max:0.750, min:0.571, mean:0.678
 191: max:0.750, min:0.571, mean:0.666
 192: max:0.750, min:0.571, mean:0.664
 193: max:0.750, min:0.571, mean:0.662
 194: max:0.750, min:0.571, mean:0.668
 195: max:0.750, min:0.536, mean:0.656
 196: max:0.750, min:0.536, mean:0.657
 197: max:0.714, min:0.536, mean:0.655
 198: max:0.714, min:0.536, mean:0.655
 199: max:0.714, min:0.536, mean:0.651
 200: max:0.714, min:0.536, mean:0.648
 201: max:0.714, min:0.536, mean:0.650
 202: max:0.750, min:0.536, mean:0.651
 203: max:0.750, min:0.536, mean:0.645
 204: max:0.786, min:0.536, mean:0.650
 205: max:0.786, min:0.500, mean:0.650
 206: max:0.786, min:0.536, mean:0.649
 207: max:0.786, min:0.571, mean:0.652
 208: max:0.786, min:0.536, mean:0.650
 209: max:0.786, min:0.500, mean:0.652
 210: max:0.750, min:0.536, mean:0.656
 211: max:0.750, min:0.571, mean:0.655
 212: max:0.750, min:0.536, mean:0.659
 213: max:0.750, min:0.571, mean:0.656
 214: max:0.750, min:0.536, mean:0.649
 215: max:0.750, min:0.536, mean:0.645
 216: max:0.786, min:0.536, mean:0.652
 217: max:0.786, min:0.536, mean:0.655
 218: max:0.821, min:0.536, mean:0.670
 219: max:0.821, min:0.571, mean:0.674
 220: max:0.821, min:0.571, mean:0.673
 221: max:0.821, min:0.571, mean:0.684
 222: max:0.821, min:0.571, mean:0.684
 223: max:0.821, min:0.536, mean:0.686
 224: max:0.857, min:0.571, mean:0.704
 225: max:0.821, min:0.607, mean:0.713
 226: max:0.786, min:0.571, mean:0.721
 227: max:0.786, min:0.536, mean:0.728
 228: max:0.786, min:0.607, mean:0.724
 229: max:0.786, min:0.571, mean:0.724
 230: max:0.786, min:0.571, mean:0.732
 231: max:0.786, min:0.607, mean:0.727
 232: max:0.786, min:0.643, mean:0.717
 233: max:0.786, min:0.571, mean:0.713
 234: max:0.786, min:0.571, mean:0.705
 235: max:0.786, min:0.571, mean:0.706
 236: max:0.786, min:0.571, mean:0.707
 237: max:0.786, min:0.607, mean:0.712
 238: max:0.786, min:0.607, mean:0.714
 239: max:0.786, min:0.643, mean:0.721
 240: max:0.786, min:0.607, mean:0.711
 241: max:0.786, min:0.571, mean:0.707
 242: max:0.786, min:0.607, mean:0.708
 243: max:0.786, min:0.571, mean:0.705
 244: max:0.786, min:0.607, mean:0.705
 245: max:0.786, min:0.571, mean:0.697
 246: max:0.786, min:0.607, mean:0.693
 247: max:0.786, min:0.536, mean:0.699
 248: max:0.786, min:0.571, mean:0.706
 249: max:0.786, min:0.607, mean:0.713
 250: max:0.821, min:0.607, mean:0.714
 251: max:0.821, min:0.607, mean:0.715
 252: max:0.821, min:0.571, mean:0.720
 253: max:0.821, min:0.607, mean:0.731
